TC ID,Objective,Test Steps,Expected Result,Actual Result
TC ID - 024,Check the equipment connection details and data retrieval option.,"1. Open the BraceLink application and Brace.
 2. Go to the Workspace section.
 3. Open the Extraction page.
 4. View the Connect Equipment (SECS/GEM) section and its fields.
 5. Click Get Data to retrieve the equipment data.","1. The BraceLink application and Brace should open properly.
 2. The Workspace section should be displayed properly.
 3. The Extraction page should open properly.
 4. The Connect Equipment (SECS/GEM) section and its fields should be displayed.
 5. The equipment data should be retrieved and displayed in the application.","1. The BraceLink application and Brace opened successfully.
 2. The Workspace section was displayed successfully.
 3. The Extraction page opened successfully.
 4. The Connect Equipment (SECS/GEM) section and its required fields were displayed.
 5. The Get Data option was clicked successfully and the required data was collected from the Brace application and displayed in BraceLink."
TC ID - 025,Check the SML Files section and file selection.,"1. Open the BraceLink application.
 2. Go to the Workspace section from the main page.
 3. Open the SML Definitions page from the Workspace.
 4. View the SML Files section displayed on the left side.
 5. Select an available SML file from the list.","1. The BraceLink application should open properly.
 2. The Workspace section should be displayed.
 3. The SML Definitions page should open.
 4. The available SML files should be shown in the list.
 5. The selected SML file should be highlighted.","1.BraceLink application opened successfully.
 2.Workspace section was displayed successfully.
 3.SML Definitions page opened successfully.
 4.Available SML files were displayed in the SML Files list.
 5.The selected SML file was highlighted successfully."
TC ID - 026,Check the Upload option adds an SML file to the SML Files list.,"1. Open the BraceLink application.
 2. Go to the Workspace section from the main page.
 3. Open the SML Definitions page.
 4. Click the Upload option and select a valid SML file.
 5. Complete the upload and view the SML Files list.","1. The BraceLink application should open properly.
 2. The Workspace section should be displayed.
 3. The SML Definitions page should open.
 4. The selected SML file should be accepted for upload.
 5. The uploaded SML file should be shown in the list.","1.BraceLink application opened successfully.
 2.Workspace section was displayed successfully.
 3.SML Definitions page opened successfully.
 4.The selected SML file was accepted and uploaded successfully.
 5.The uploaded SML file was displayed in the SML Files list successfully."
TC ID - 027,Check the Download option downloads the selected SML content.,"1. Open the BraceLink application.
 2. Go to the Workspace section from the main page.
 3. Open the SML Definitions page.
 4. Select an SML file and view its content in the SML Content section.
 5. Click the Download option and check the downloaded file.","1. The BraceLink application should open properly.
 2. The Workspace section should be displayed.
 3. The SML Definitions page should open.
 4. The selected SML content should be displayed.
 5. The SML file should be downloaded with the displayed content.","1.BraceLink application opened successfully.
 2.Workspace section was displayed successfully.
 3.SML Definitions page opened successfully.
 4.The selected SML content was displayed correctly.
 5.The selected SML file was downloaded successfully with the displayed content."
TC ID - 028,Verify the Connect and Start buttons establish the connection and initiate the selected test execution.,"1. Open the BraceLink application and select Brace.
 2. Search for and open Tool Characterization Testing.
 3. Select the required SML file and click Connect.
 4. Verify the connection status and click Start to begin test execution.
 5. Observe the Test Execution area and execution sta","1. BraceLink and Brace should open successfully.
 2. Tool Characterization Testing page should open successfully.
 3. The selected SML file should be loaded and connected successfully.
 4. The Start button should initiate the selected test execution.
 5. The Test Execution area should display the running test information and status.","1. BraceLink and Brace opened successfully.
 2. Tool Characterization Testing page opened successfully.
 3. The selected SML file was loaded and connected successfully.
 4. The Start button initiated the selected test execution successfully.
 5. The Test Execution area displayed the running test information and execution status correctly."
TC ID - 029,Check the Overall Progress and Tests Summary show the execution status.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and start a test.
 4. View the Overall Progress and Tests Summary sections during execution.
 5. Check the Passed, Failed, and Not Run values shown in the summary.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Tool Characterization Testing page should open and the test should start.
 4. The Overall Progress and Tests Summary sections should be displayed.
 5. The Passed, Failed, and Not Run values should show the current status.",
TC ID - 030,Check the Success Rate shows the current test execution result.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and start the required test.
 4. View the Success Rate section after the test cases are processed.
 5. Compare the displayed percentage with the completed test results.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Tool Characterization Testing page should open and the test should start.
 4. The Success Rate section should display the current percentage.
 5. The displayed percentage should match the completed test results.",
TC ID - 031,"Check the Test Suite, SECS Log, Report, and Report Overview sections.","1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and view the available sections.
 4. Open Test Suite, SECS Log, Report, and Report Overview one by one.
 5. Check the information displayed in each selected section.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Tool Characterization Testing page should open with the available sections.
 4. The Test Suite, SECS Log, Report, and Report Overview sections should open.
 5. Each selected section should display its related information correctly.",
TC ID - 032,Check the Communication and Event Reporting categories show their test cases.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and locate Test Suite Explorer.
 4. Select the Communication and Event Reporting categories from the explorer.
 5. Check the test cases displayed under both selected categories.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Test Suite Explorer should be displayed on the page.
 4. The Communication and Event Reporting categories should be available for selection.
 5. The related test cases should be displayed under each category.",
TC ID - 033,Check the Equipment Configuration and Unknown categories show their test cases.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and locate Test Suite Explorer.
 4. Select the Equipment Configuration and Unknown categories from the explorer.
 5. Check the test cases displayed under both selected categories.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Test Suite Explorer should be displayed on the page.
 4. The Equipment Configuration and Unknown categories should be available for selection.
 5. The related test cases should be displayed under each category.",
TC ID - 034,Check the SECS/GEM Transaction Console displays equipment communication details.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and select the SECS Log section.
 4. View the SECS/GEM Transaction Console shown in the selected section.
 5. Check the transaction console area for the equipment communication details.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Tool Characterization Testing page should open with the SECS Log section.
 4. The SECS/GEM Transaction Console should be displayed in the selected section.
 5. The transaction console should provide the area for monitoring equipment communication details.",
TC ID - 035,Check the Execution Reports section displays the available report details.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and select the Report section.
 4. View the Execution Reports section displayed on the page.
 5. Check the report table for the available report details and column headings.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Tool Characterization Testing page should open with the Report section.
 4. The Execution Reports section should be displayed on the page.
 5. The report table should show the available headings for SML File, Generated Time, Device, Total, Pass, Fail, and Status.",
TC ID - 036,Check the Upload Summaries option is available in the Execution Reports section.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and select the Report section.
 4. Locate the Upload Summaries option in the Execution Reports section.
 5. Click Upload Summaries and check the response shown by the application.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Tool Characterization Testing page should open with the Report section.
 4. The Upload Summaries option should be clearly displayed in the Execution Reports section.
 5. The application should provide the required option or interface to upload report summaries.",
TC ID - 037,Check the Execution History section displays the previous test execution details.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and select the Report section.
 4. Locate and open the Execution History section from the report page.
 5. Check the previous execution details displayed in the history section.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Tool Characterization Testing page should open with the Report section.
 4. The Execution History section should be available and open correctly.
 5. The previous test execution details should be displayed in the history section.",
TC ID - 038,Check the Raw JSON option displays the report data in JSON format.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and select the Report section.
 4. Locate and open the Raw JSON option from the report page.
 5. Check the report information displayed in the Raw JSON view.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Tool Characterization Testing page should open with the Report section.
 4. The Raw JSON option should be available and open correctly.
 5. The report information should be displayed in JSON format.",
TC ID - 039,Check the SECS Logs section displays the communication log details.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and select the Report Overview section.
 4. Select SECS Logs from the available report details.
 5. Check the log table for the Time, Direction, Stream, Function, and Message details.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Tool Characterization Testing page should open with the Report Overview section.
 4. The SECS Logs section should be displayed with the report details.
 5. The log table should show the Time, Direction, Stream, Function, and Message columns.",
TC ID - 040,Check the Test Results table displays the test execution details.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the page and select the Report section.
 4. Locate the Test Results table displayed on the page.
 5. Check the test details shown in the table.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The page should open with the Report section.
 4. The Test Results table should be displayed on the page.
 5. The test execution details should be displayed correctly.",
TC ID - 041,Check the execution timing details are displayed correctly.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the page and view the current test execution details.
 4. Locate the Start Time, Elapsed Time, and Estimated Time Left details.
 5. Check the timing information displayed for the test.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The page should display the current test execution details.
 4. The Start Time, Elapsed Time, and Estimated Time Left should be displayed.
 5. The timing information should be displayed correctly for the test.",
TC ID - 042,Check the test execution follows the displayed execution flow.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the page and start the required test execution.
 4. Observe the Send, Wait Response, and Validate stages during execution.
 5. Check that the stages are followed in the displayed order.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The page should open with the required test execution option.
 4. The Send, Wait Response, and Validate stages should be displayed.
 5. The execution should follow the stages in the displayed order.",
TC ID - 043,Check the Scripts section is available under Tool Reports.,"1. Open the BraceLink application from the system.
 2. Search for Tool Characterization Testing from the available options.
 3. Open the Tool Characterization Testing page and select the Report section.
 4. Locate the Scripts section under the Tool Reports.
 5. Check that the Scripts section is displayed correctly.","1. The BraceLink application should open properly.
 2. Tool Characterization Testing should be available in the options.
 3. The Tool Characterization Testing page should open with the Report section.
 4. The Scripts section should be available under Tool Reports.
 5. The Scripts section should be displayed correctly.",
TC ID - 044,Check the Auto Map function creates the required mappings.,"1. Open the BraceLink application from the system.
 2. Navigate to the MES Mapping section and open Smart Mapping.
 3. Select the required MES Family and Template for mapping.
 4. Click the Auto Map option available on the page.
 5. Check the mapping records displayed after the Auto Map process.","1. The BraceLink application should open properly.
 2. The MES Mapping and Smart Mapping page should open correctly.
 3. The required MES Family and Template should be selected.
 4. The Auto Map process should start and complete as expected.
 5. The required mapping records should be created or updated correctly.",
TC ID - 045,Check the mapping status displays the current state correctly.,"1. Open the BraceLink application from the system.
 2. Navigate to the MES Mapping section and open Smart Mapping.
 3. Select the required mapping options displayed on the page.
 4. Locate the mapping status shown for the selected configuration.
 5. Check the status displayed after the mapping information is loaded.","1. The BraceLink application should open properly.
 2. The MES Mapping and Smart Mapping page should open correctly.
 3. The required mapping options should be available for selection.
 4. The mapping status should be displayed for the selected configuration.
 5. The current mapping status should be shown correctly.",
TC ID - 046,Check each mapping category displays its corresponding records.,"1. Open the BraceLink application from the system.
 2. Navigate to the MES Mapping section and open Smart Mapping.
 3. Locate the Events, Alarms, Variables, and Payloads categories on the page.
 4. Select each category one by one to view its mapping records.
 5. Check the records displayed under each selected category.","1. The BraceLink application should open properly.
 2. The MES Mapping and Smart Mapping page should open correctly.
 3. The Events, Alarms, Variables, and Payloads categories should be available.
 4. Each category should open and display its related mapping records.
 5. The correct records should be displayed for each selected category.",
TC ID - 047,Check the mapping category count matches the displayed records.,"1. Open the BraceLink application from the system.
 2. Navigate to the MES Mapping section and open Smart Mapping.
 3. Select one of the available mapping categories on the page.
 4. Note the record count displayed for the selected category.
 5. Compare the displayed count with the records available in the category.","1. The BraceLink application should open properly.
 2. The MES Mapping and Smart Mapping page should open correctly.
 3. The available mapping categories should be displayed.
 4. The record count should be shown for the selected category.
 5. The displayed count should match the available mapping records.",
TC ID - 048,Check an individual mapping record can be selected.,"1. Open the BraceLink application from the system.
 2. Navigate to the MES Mapping section and open Smart Mapping.
 3. Locate the mapping records displayed in the selected category.
 4. Select the checkbox for one individual mapping record.
 5. Check the selection status of the selected record.","1. The BraceLink application should open properly.
 2. The MES Mapping and Smart Mapping page should open correctly.
 3. The mapping records should be displayed with selection options.
 4. The individual mapping record should be selected using its checkbox.
 5. The selected record should show the correct selection status.",
TC ID - 049,Check the MES and equipment mapping fields show the correct details.,"1. Open the BraceLink application from the system.
 2. Navigate to the MES Mapping section and open Smart Mapping.
 3. Select an available mapping record from the displayed table.
 4. View the MES and equipment-related fields shown for the selected record.
 5. Check the mapping details displayed in the table.","1. The BraceLink application should open properly.
 2. The MES Mapping and Smart Mapping page should open correctly.
 3. The available mapping records should be displayed in the table.
 4. The MES and equipment-related fields should be available for the selected record.
 5. The mapping details should be displayed correctly.",
